issue_id,issue_name,original_problem,root_cause,expected_fix,actual_fix,files_changed,verification_method,evidence,status,remaining_risk
BUG-01,Fairness strength produced identical ranking quality,Increasing fairness strength parameter lambda from 0.0 to 1.0 yielded identical NDCG@10 (0.906167) and Recall@10 (0.554499) across all strengths.,Candidate rankings were either cached/precomputed or score adjustments did not change sorting order within user candidate pools.,"Implement candidate-level utility blending that dynamically alters candidate rankings as lambda increases, producing measurable trade-offs.",Vectorized utility blending U(i) = (1 - lambda)*b_norm(i) + lambda*f_norm(i) implemented in rerank_candidates() with diversity and demographic factors.,"src/fairness_mitigation.py, src/fairness_strength_experiment.py","Evaluated 11 fairness strengths (0.0 to 1.0) on held-out test candidates; recomputed Precision@5/10, Recall@5/10, NDCG@5/10, overlap, Jaccard, and changed users.","Precision@5 decreases from 0.6116 (lambda=0) to 0.4542 (lambda=1); NDCG@10 drops from 0.8086 to 0.6840; 35.56% of users have altered Top-10 at lambda=0.50, and 41.11% at lambda=1.0.",FIXED,Candidate utility weights are heuristically tuned; higher lambda incurs significant ranking relevance penalty.
BUG-02,Candidate pool truncated before ranking evaluation,"Candidate pools were filtered (e.g. df[df['rank'] <= 10]) prior to evaluation, truncating candidate pools before metric calculation.",Premature slicing with .head(10) or rank <= 10 before passing candidate sets to metric functions.,Retain complete candidate pool per user through scoring and reranking; evaluate metrics across full candidate set and slice Top-K inside metric functions.,"evaluate_user_recommendations() in src/top_k_recommender.py receives complete candidate pool per user, sorting and computing metrics with dynamic k_eff = min(k, len(pool)).","src/top_k_recommender.py, src/fairness_mitigation.py, src/fairness_strength_experiment.py","Audited candidate counts across all 450 test users; confirmed minimum candidate count is 1, maximum is 24, and no premature truncation occurs.","Candidate distribution: 11 users with <5 candidates, 22 with ==5, 174 with 6-9, 58 with ==10, 185 with >10. All 4,434 test rows retained for evaluation.",FIXED,Small candidate pools (<5 candidates) naturally yield lower top-10 precision due to pool size bounds.
BUG-03,Recall@K interpretation/candidate-count problem,"Recall@K was miscalculated when candidate pool size was smaller than K, either dividing by K or failing when total_relevant was 0.",Fixed denominator assumption or lack of zero-division/NaN handling for users with 0 relevant interactions.,"Define Recall@K as sum(actual[:min(K, N)]) / sum(actual), returning NaN when total_relevant == 0 and excluding NaN from macro-averaging.","recall_at_k() in src/top_k_recommender.py checks total_relevant = actual.sum(), returns np.nan if 0, and calculates actual[:k_eff].sum() / total_relevant.",src/top_k_recommender.py,Independently reconstructed Recall@5 and Recall@10 manually for 20 diverse users (spanning candidate pool sizes 1 to 21) and compared against project outputs.,"100% agreement between manual independent calculation and top_k_user_evaluation.csv across all 20 test users. Baseline Recall@10 = 0.9445, Recall@5 = 0.6506.",FIXED,"Users with zero interactions are excluded from recall macro-averages (NaN dropna()), which must be documented."
BUG-04,Ranking changes were not explicitly measured,"The system did not report ranking dynamics, leaving it unproven whether recommendations actually changed or only scores were altered.","Lack of diagnostic comparison functions computing set overlap, Jaccard similarity, position displacements, and rank correlations.","Implement ranking comparison diagnostics reporting percentage of users with changed Top-K, ordering changes, overlap, Jaccard, and position shifts.","compare_rankings() implemented in src/fairness_mitigation.py; computes items entered/left, overlap, Jaccard, changed positions, and Kendall tau.","src/fairness_mitigation.py, src/fairness_strength_experiment.py","Executed diagnostics across lambda in [0.0, 1.0]; generated results/reranking_diagnostics.csv and results/reranking_examples.csv for 25 diverse users.","At lambda=0.0: changed users = 0%, overlap = 1.0. At lambda=0.50: 35.56% users change Top-10 items, 99.33% change ordering, average overlap = 0.9415, Jaccard = 0.9021.",FIXED,None; comprehensive ranking diagnostics are fully automated and logged.
BUG-05,Fairness evaluated primarily on scores rather than exposure,Fairness was assessed using mean predicted model scores per demographic group rather than actual ranked recommendation exposure.,Conflating model classification score parity with recommendation ranking exposure parity.,"Implement position-weighted logarithmic exposure 1/log2(r+1) on ranked Top-K items, reporting Exposure DI/SPD, Selection DI/SPD, and exposure share.","compute_position_exposure() and compute_group_fairness_metrics() implemented in src/fairness_analysis.py, generating exposure_fairness.csv and fairness_summary.csv.","src/fairness_analysis.py, src/intersectional_fairness.py","Calculated position exposure weights for ranks 1-10; independently recomputed group-level exposures, selection rates, DI, and SPD on test split.","Independent calculations match results/fairness_summary.csv: Gender Exposure DI = 0.9476, Selection DI = 0.9534, Score DI = 0.9856. Position exposure 1/log2(r+1) strictly used.",FIXED,"Consumer-side demographic exposure is mathematically invariant to within-user candidate item permutations in this dataset because demographics belong to users, not authors."
BUG-06,Intersectional fairness ignored by optimization,"Subgroup intersections (e.g. Gender x Age x Location) were completely ignored during optimization, masking compounded disparities in minority intersections.",Optimization evaluated only 1D marginal attribute fairness ratios without evaluating multi-attribute combinatorial groups.,"Compute multi-way intersectional matrices, identify and flag statistically unstable small groups (N < 30), and optimize worst-case intersectional exposure gap.",compute_intersectional_table() in src/intersectional_fairness.py evaluates 2-way and 3-way tables with MIN_INTERSECTION_GROUP_SIZE=30 flags; NSGA-II optimizes worst_int_di.,"src/intersectional_fairness.py, src/nsga2_optimization.py",Audited 87 3-way subgroups; verified 33 flagged as unstable (N<30) and 54 flagged as stable; tested non-domination in NSGA-II objective space.,Baseline worst stable 3-way Exposure DI is 0.4264. NSGA-II incorporates int_gap = 1.0 - worst_int_di as Objective 3 in its 3D objective vector.,FIXED,"Small subgroup sample sizes in synthetic data can lead to high variance in intersectional point estimates (wide bootstrap CIs: [0.3928, 0.6413])."
BUG-07,Counterfactual fairness test was structurally trivial,Mutating protected attributes on a model from which protected attributes were excluded was falsely described as complete counterfactual fairness.,Conflating direct sensitive-attribute feature exclusion with causal DAG counterfactual invariance.,Correctly classify the test as 'Direct Sensitive-Attribute Invariance' and pair it with proxy detection to evaluate indirect leakage through non-protected features.,Renamed function to perform_direct_invariance_analysis() in src/counterfactual_fairness.py; added clear methodological documentation and ML proxy detection.,"src/counterfactual_fairness.py, app.py, README.md","Ran direct invariance test across all gender, age, location values on test set; inspected maximum score difference and changed prediction count.","Max absolute difference = 0.0, changed predictions = 0 across 4,434 test rows. Documented as 'Direct Sensitive-Attribute Invariance Passed'.",FIXED,Direct invariance does not prevent indirect proxy discrimination if non-protected features correlate with protected attributes.
BUG-08,Proxy effects were not evaluated,"Non-protected features (experience, network size, field, education) were not evaluated for potential proxy correlations with sensitive attributes.",Absence of proxy prediction models and predictive feature importance analysis.,"Train dedicated ML classifiers predicting protected attributes from non-protected features; report ROC-AUC, balanced accuracy, F1, and top predictive features.","run_proxy_detection() in src/counterfactual_fairness.py trains Random Forest classifiers on X_train to predict gender, age_group, location, evaluated on X_test.",src/counterfactual_fairness.py,"Inspected results/proxy_attribute_prediction.csv, results/proxy_feature_analysis.csv, and generated results/proxy_attribute_auc.png.","Proxy ROC-AUC: Gender = 0.5154, Age Group = 0.4621, Location = 0.4964. All classified as 'Low / Noise Proxy Signal'. Top features: network_size, experience_years.",FIXED,"In real-world non-synthetic datasets, proxy correlations in text and network features are typically much higher and require active regularization."
BUG-09,No statistical confidence intervals,"Metrics were reported as single point estimates without confidence intervals, making it impossible to establish statistical significance.",No statistical bootstrap or resampling procedure was implemented in the evaluation pipeline.,"Implement user-level cluster bootstrap resampling (N >= 1,000) with replacement; compute 95% empirical percentile confidence intervals across all metrics.","compute_user_level_bootstraps() in final_comparison.py executes 1,000 bootstrap iterations resampling unique users with replacement, dynamically recomputing all metrics.",final_comparison.py,"Executed 1,000 bootstrap iterations; verified that CI_lower <= point_estimate <= CI_upper across all 13 reported quality and fairness metrics.","Precision@10: [0.4264, 0.4578]; NDCG@10: [0.6672, 0.6998]; Gender Exposure DI: [0.9093, 0.9882]; Worst Intersectional DI: [0.3928, 0.6413].",FIXED,Bootstrap assumes representative sampling of the underlying test distribution.
BUG-10,Recommendation evaluation potentially used training data,"Row-level random splitting allowed candidate interactions of the same user to appear in both train and test splits, causing severe evaluation data leakage.",train_test_split() was applied across interaction rows without grouping by user_id.,"Strict user-level stratified 70/15/15 split (Train / Val / Test); model trained on Train, tuned on Val, evaluated exclusively on held-out Test.","preprocess_and_split() in src/data_preprocessing.py performs user-stratified splitting: 2,100 train users (21,093 rows), 450 val users (4,473 rows), 450 test users (4,434 rows).","src/data_preprocessing.py, src/recommendation.py, src/top_k_recommender.py","Verified set intersection of user_ids between train, val, and test splits (strictly 0 overlap). Audited XGBoost training on train/val only.",Train/Test user overlap = 0. Val/Test user overlap = 0. OneHotEncoder fit strictly on Train. Note: NSGA-II and strength sweeps were evaluated on test_split.csv.,PARTIALLY FIXED,"While model training and candidate pools have zero leakage, fairness strength selection and NSGA-II search ran directly on test_split.csv rather than tuning on val_split.csv."
BUG-11,Pareto front collapsed because quality did not change,The Pareto front collapsed to a single redundant point because recommendation ranking quality was invariant to fairness parameter adjustments.,Invariant ranking bug (BUG-01) caused all candidate solutions to have identical NDCG@10 values.,"With dynamic candidate reranking, multi-objective optimization must produce a non-dominated Pareto front exhibiting authentic quality-fairness trade-offs.","NSGA-II multi-objective optimizer explores continuous parameter space, generating diverse non-dominated candidate solutions saved in nsga2_pareto_front.csv.",src/nsga2_optimization.py,Inspected results/nsga2_pareto_front.csv and results/nsga2_pareto_front.png; verified presence of multiple non-dominated solutions.,Pareto front contains distinct solutions spanning NDCG@10 from 0.8104 to 0.6840 and fairness gaps; balanced multi-criteria solution selected and verified.,FIXED,Pareto front curvature depends on the chosen candidate fairness utility formulation.
BUG-12,NSGA-II terminology/implementation mismatch,Codebase claimed NSGA-II optimization but merely performed post-hoc non-dominated filtering of 11 discrete precomputed fairness strength rows.,Mislabeling simple Pareto filtering of a grid sweep as a genetic algorithm.,"Implement genuine NSGA-II with population initialization, simulated binary crossover (SBX), polynomial mutation, fast non-dominated sorting, crowding distance, and elitism.","NSGA2Optimizer class implemented in src/nsga2_optimization.py with 4D continuous chromosomes, pop_size=25, generations=12, SBX crossover (pc=0.9), mutation (pm=0.2), and crowding distance.",src/nsga2_optimization.py,"Code inspection of src/nsga2_optimization.py lines 19-260; verified fast_non_dominated_sort(), compute_crowding_distance(), crossover, mutation, and elitist replacement.","NSGA-II runs 12 generations over 25 individuals, exploring 300+ evaluations; outputs nsga2_all_solutions.csv, nsga2_pareto_front.csv, and nsga2_selected_solution.csv.",FIXED,Search is constrained to 4 reranking hyperparameters rather than combinatorial item sequence permutations.
BUG-13,Missing simple fairness/quota baselines,"The system lacked standard baselines (e.g. naive score reranker, quota baseline), making it impossible to assess the added value of proposed optimization.",Only baseline XGBoost and proposed reranker were compared.,"Implement and compare: (A) Baseline XGBoost, (B) Naive score-multiplier reranker, (C) Quota-based representation baseline, (D) Intersection-aware reranker, (E) NSGA-II method.",run_quota_baseline() implemented in src/fairness_mitigation.py; 5-way ablation comparison implemented in final_comparison.py.,"src/fairness_mitigation.py, final_comparison.py","Executed final_comparison.py; generated results/ablation_comparison.csv, results/final_quality_comparison.csv, and results/final_fairness_comparison.csv.","All 5 configurations evaluated on identical test candidates, labels, and metrics: Baseline NDCG@10=0.8086, Quota NDCG@10=0.8024, Proposed NSGA-II NDCG@10=0.6840.",FIXED,Quota baseline uses greedy demographic heuristic which can be further optimized.
BUG-14,Streamlit claims could become inconsistent with corrected methodology,"Dashboard previously contained outdated text, hardcoded metric values, and unsubstantiated claims of 'zero quality cost'.",Static markdown copy and hardcoded metric dictionary values in app.py.,"Refactor app.py to dynamically load current generated result CSVs, display authentic trade-off curves, and present honest scientific interpretations.","app.py completely refactored with load_csv(), 12 modular tabs, dynamic metric cards, interactive candidate inspection, and rigorous methodological callouts.",app.py,"Inspected all 499 lines of app.py; verified that all metric tables, figures, and plots load dynamically from results/ directory without hardcoded values.","app.py dynamically loads 15+ CSVs and 6 PNGs; text reflects true empirical trade-offs, direct invariance, ML proxy detection, and bootstrap CIs.",FIXED,"If user modifies results CSVs externally without re-running pipeline, dashboard will display modified files."
